2021-09-14 23:58:01:437 750 sec: 139999 operations; 0 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:58:11:437 760 sec: 139999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:58:21:437 770 sec: 139999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:58:31:437 780 sec: 139999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:58:41:437 790 sec: 146999 operations; 700 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=7000, Max=55934975, Min=5, Avg=7998.98, 90=7, 99=23, 99.9=63, 99.99=10287] 
2021-09-14 23:58:51:437 800 sec: 146999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:59:01:437 810 sec: 146999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:59:11:437 820 sec: 146999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:59:21:437 830 sec: 146999 operations; 0 current ops/sec; est completion in 1 hour 20 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:59:31:455 840 sec: 153999 operations; 699.93 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=7000, Max=53739519, Min=5, Avg=7683.51, 90=8, 99=23, 99.9=59, 99.99=10423] 
2021-09-14 23:59:41:437 850 sec: 153999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
