2021-09-16 06:18:06:855 670 sec: 76999 operations; 0 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:18:16:855 680 sec: 76999 operations; 0 current ops/sec; est completion in 2 hours 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:18:26:855 690 sec: 76999 operations; 0 current ops/sec; est completion in 2 hours 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:18:36:855 700 sec: 83999 operations; 700 current ops/sec; est completion in 2 hours 7 minutes [INSERT: Count=7000, Max=61800447, Min=5, Avg=8834.5, 90=21, 99=22, 99.9=39, 99.99=8171] 
2021-09-16 06:18:46:855 710 sec: 83999 operations; 0 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:18:56:855 720 sec: 83999 operations; 0 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:19:06:855 730 sec: 83999 operations; 0 current ops/sec; est completion in 2 hours 12 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:19:16:855 740 sec: 83999 operations; 0 current ops/sec; est completion in 2 hours 14 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:19:26:855 750 sec: 83999 operations; 0 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:19:36:856 760 sec: 83999 operations; 0 current ops/sec; est completion in 2 hours 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:19:46:855 770 sec: 90999 operations; 700 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=7000, Max=68616191, Min=5, Avg=9803.88, 90=7, 99=22, 99.9=28, 99.99=68] 
2021-09-16 06:19:56:856 780 sec: 90999 operations; 0 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:20:06:856 790 sec: 90999 operations; 0 current ops/sec; est completion in 2 hours 11 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:20:16:856 800 sec: 90999 operations; 0 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:20:26:855 810 sec: 90999 operations; 0 current ops/sec; est completion in 2 hours 14 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:20:36:855 820 sec: 90999 operations; 0 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:20:46:856 830 sec: 90999 operations; 0 current ops/sec; est completion in 2 hours 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:20:56:856 840 sec: 97999 operations; 700 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=7000, Max=63963135, Min=5, Avg=9141.39, 90=5, 99=22, 99.9=36, 99.99=86] 
2021-09-16 06:21:06:856 850 sec: 97999 operations; 0 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:21:16:855 860 sec: 97999 operations; 0 current ops/sec; est completion in 2 hours 11 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:21:26:855 870 sec: 97999 operations; 0 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
